"DisplayName","UPN","RiskLevel","RiskState","RiskDetail","LastUpdated"
"Pavel Dvorak","Pavel_Lab@******.onmicrosoft.com","none","dismissed","adminDismissedAllRiskForUser","13.4.2026 6:57:34 PM"
"Lab User 05","lab-user-05@******.onmicrosoft.com","none","dismissed","adminDismissedAllRiskForUser","21.6.2026 8:56:15 PM"
"Lab User 04","lab-user-04@******.onmicrosoft.com","none","dismissed","adminDismissedAllRiskForUser","21.6.2026 9:06:08 PM"
"Lab User 03","lab-user-03@******.onmicrosoft.com","none","dismissed","adminDismissedAllRiskForUser","21.6.2026 9:06:08 PM"
